,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
297,2014.07.24,172.979,173.051,172.622,172.89,83170,0,5
298,2014.07.25,172.895,173.162,172.64,172.655,74810,0,4
299,2014.07.28,172.776,173.084,172.747,172.924,67335,0,11
300,2014.07.29,172.924,173.199,172.718,172.968,83939,0,11
301,2014.07.30,172.976,174.179,172.906,173.891,75735,0,1
302,2014.07.31,173.889,173.996,173.393,173.586,60955,0,5
303,2014.08.01,173.581,173.845,172.378,172.531,61004,0,1
304,2014.08.04,172.564,173.001,172.45,172.947,57643,0,22
305,2014.08.05,172.947,173.496,172.768,173.138,70907,0,22
306,2014.08.06,173.139,173.171,171.558,172.137,83573,0,22
307,2014.08.07,172.136,172.612,171.696,171.849,85637,0,22
308,2014.08.08,171.85,171.86,170.694,171.087,101646,0,22
309,2014.08.11,171.37,171.661,171.225,171.53,54737,0,22
310,2014.08.12,171.53,171.962,171.374,171.882,59668,0,22
311,2014.08.13,171.881,172.597,170.847,170.908,75914,0,19
312,2014.08.14,170.905,171.221,170.648,171.034,64633,0,22
313,2014.08.15,171.034,171.44,170.422,170.821,67466,0,22
314,2014.08.18,171.209,171.667,171.02,171.605,46314,0,17
315,2014.08.19,171.604,171.626,170.692,171.074,61728,0,22
316,2014.08.20,171.075,172.3,171.009,172.138,83911,0,22
317,2014.08.21,172.141,172.384,171.875,172.164,63076,0,22
318,2014.08.22,172.165,172.618,171.61,172.186,67524,0,10
319,2014.08.25,172.43,172.68,172.292,172.426,55192,0,11
320,2014.08.26,172.426,172.58,172.086,172.227,71945,0,22
321,2014.08.27,172.224,172.523,172.057,172.168,72655,0,22
322,2014.08.28,172.168,172.286,171.668,172.05,72598,0,4
323,2014.08.29,172.048,172.807,171.946,172.689,56867,0,1
324,2014.09.01,172.807,173.404,172.755,173.362,48229,0,22
325,2014.09.02,173.365,173.945,173.003,173.302,88515,0,22
326,2014.09.03,173.301,173.318,172.382,172.647,84157,0,1
327,2014.09.04,172.65,172.774,171.646,172.033,100830,0,1
328,2014.09.05,172.033,172.117,170.981,171.531,92119,0,1
329,2014.09.08,170.54,171.107,169.344,170.785,103819,0,1
330,2014.09.09,170.785,171.53,170.624,171.095,113460,0,1
331,2014.09.10,171.094,173.269,171.086,173.052,101842,0,1
